engine,rel,note,out_fmt,quality,long_edge,repeat,ok,inner_s,outer_s,peak_rss_kb,rss_over_import_kb,out_bytes,out_w,out_h,src_fmt,src_mode,src_w,src_h,src_mp,src_bytes,src_icc,src_exif_orient,err
pillow,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,1,1,1.06874,1.07599,602056,576700,1489348,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pillow,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,2,1,1.03539,1.04262,602056,576700,1489348,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pillow_draft,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,0,1,0.9002,0.90731,175944,150580,1493058,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pillow_draft,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,1,1,0.90803,0.91479,175944,150580,1493058,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pillow_draft,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,2,1,0.89861,0.90541,175944,150580,1493058,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,0,1,0.83454,0.83805,143024,117660,1509384,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,1,1,0.83728,0.84074,148932,123568,1509384,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,2,1,0.82508,0.82847,148676,123312,1509384,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips_c1,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,0,1,0.83017,0.8338,145360,119996,1509384,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips_c1,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,1,1,0.83445,0.838,133484,108120,1509384,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
